|       Size N      |Average clock time time|Average average_ob|Maximum max_ob|Minimum min_ob|
|         1000          |        0.411        |        10.285        |        1000        |        1        |
|         2000          |        0.400        |        15.823        |        2000        |        1        |
|         3000          |        0.400        |        20.181        |        3000        |        1        |
|         4000          |        0.428        |        26.523        |        4000        |        1        |
|         5000          |        0.431        |        32.256        |        5000        |        1        |
|         6000          |        0.447        |        37.119        |        6000        |        1        |
|         7000          |        0.468        |        44.156        |        7000        |        1        |
|         8000          |        0.479        |        48.415        |        8000        |        1        |
|         9000          |        0.483        |        54.343        |        9000        |        1        |
