|       Size N      |Average clock time time|Average average_ob|Maximum max_ob|Minimum min_ob|
|         1000          |        1.897        |        612.173        |        1000        |        1        |
|         2000          |        3.035        |        1012.766        |        2000        |        1        |
|         3000          |        5.570        |        1977.803        |        3000        |        1        |
|         4000          |        5.314        |        1926.819        |        4000        |        1        |
|         5000          |        9.277        |        3551.033        |        5000        |        1        |
|         6000          |        6.750        |        2543.549        |        6000        |        1        |
|         7000          |        4.353        |        1628.430        |        7000        |        1        |
|         8000          |        6.709        |        2557.492        |        8000        |        1        |
|         9000          |        11.619        |        5080.195        |        9000        |        1        |
